 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, 7th-8th, Separated, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Black, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Local-gov, Assoc-voc, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Other-service, Black, Male, Jamaica, <=50K
 Private, 10th, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, White, Female, United-States, <=50K
 State-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, 10th, Married-civ-spouse, Machine-op-inspct, White, Female, United-States, <=50K
 Local-gov, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Some-college, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, Columbia, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, Poland, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Protective-serv, Black, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, Peru, <=50K
 Private, HS-grad, Never-married, Transport-moving, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 9th, Never-married, Machine-op-inspct, Black, Female, Dominican-Republic, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Married-spouse-absent, Sales, Other, Female, Dominican-Republic, <=50K
 ?, Some-college, Never-married, ?, White, Female, ?, <=50K
 Local-gov, Assoc-voc, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Sales, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, England, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Tech-support, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 ?, HS-grad, Divorced, ?, Asian-Pac-Islander, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, 10th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 9th, Never-married, Handlers-cleaners, White, Male, El-Salvador, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, Cuba, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
 State-gov, HS-grad, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, 9th, Never-married, Other-service, White, Female, El-Salvador, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Priv-house-serv, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Self-emp-inc, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, 9th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 10th, Never-married, Sales, White, Female, United-States, <=50K
 Self-emp-inc, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 Private, 9th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Local-gov, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, >50K
 State-gov, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, Masters, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, France, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, Canada, <=50K
 Federal-gov, Some-college, Never-married, Tech-support, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Federal-gov, 11th, Never-married, Other-service, Asian-Pac-Islander, Male, Philippines, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Federal-gov, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, Mexico, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Transport-moving, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, 11th, Separated, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Farming-fishing, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 10th, Divorced, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, Asian-Pac-Islander, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, 9th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Protective-serv, White, Male, United-States, <=50K
 Self-emp-inc, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Self-emp-inc, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Priv-house-serv, White, Female, Guatemala, <=50K
 Private, Some-college, Never-married, Other-service, Asian-Pac-Islander, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Self-emp-inc, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Prof-specialty, White, Female, United-States, >50K
 Private, 7th-8th, Divorced, Priv-house-serv, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Married-civ-spouse, Farming-fishing, White, Male, Mexico, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Male, United-States, <=50K
 Private, 11th, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, Canada, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Male, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Male, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Federal-gov, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, 10th, Married-civ-spouse, Craft-repair, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 State-gov, 12th, Never-married, Other-service, White, Male, United-States, <=50K
 ?, Assoc-voc, Divorced, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 ?, 11th, Never-married, ?, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Asian-Pac-Islander, Female, ?, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Female, ?, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 10th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, Vietnam, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Protective-serv, Black, Female, United-States, <=50K
 Self-emp-inc, 11th, Never-married, Farming-fishing, White, Male, United-States, <=50K
 State-gov, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Local-gov, 11th, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 State-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 Private, 5th-6th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Protective-serv, Black, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, ?, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Federal-gov, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 ?, Assoc-voc, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, El-Salvador, <=50K
 Private, 11th, Never-married, Other-service, White, Male, El-Salvador, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 12th, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, Dominican-Republic, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, Peru, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, Amer-Indian-Eskimo, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, Asian-Pac-Islander, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, Italy, <=50K
 ?, Assoc-acdm, Never-married, ?, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, ?, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, 9th, Never-married, Other-service, Black, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Other, Female, Cuba, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, 12th, Never-married, Protective-serv, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Craft-repair, White, Male, United-States, <=50K
